OTU,alpha
Moraxella_1250,0.00121183298400641
Moraxella_1258,0.00243034971824488
Moraxella_1259,0.0621545810286585
Pasteurellaceae_1262,0.0012077711217598
Moraxella_1264,0.00120964521745687
Moraxella_1271,0.00484705314544245
Moraxella_1280,0.00363886935194672
Moraxellaceae_1288,0.00120988909051751
Gammaproteobacteria_1293,0.00364299872811046
Enterobacteriaceae_1294,0.00120631592576464
Burkholderia_1301,0.00733470467219295
Ralstonia_1306,0.00486819078618128
Gammaproteobacteria_1313,0.00120631592576464
uncultured_beta_proteobacterium_1316,0.0161066154805435
Burkholderia_1318,0.00242327679799494
Burkholderia_1320,0.00242750373425584
Burkholderia_1322,0.0203559918527279
Burkholderia_1326,0.00242696994044452
uncultured_beta_proteobacterium_1329,0.00241263185152928
Pseudomonas_1334,0.00242576727085111
Ralstonia_1340,0.0624835294100652
Ralstonia_1342,0.023581515761463
Ralstonia_1343,0.0413208343897437
Cupriavidus_1357,0.00729132341358368
Comamonadaceae_1368,0.0235636300492412
Comamonadaceae_1371,0.0145961095226714
Comamonadaceae_1374,0.0657171780888658
Achromobacter_1384,0.00610679404449724
Achromobacter_1385,0.00487629594244165
Achromobacter_xylosoxidans_subsp_xylosoxidans_1399,0.0449502772145123
Achromobacter_xylosoxidans_subsp_xylosoxidans_1400,0.00740862710938389
Achromobacter_1401,0.00980330558924441
Lautropia_1410,0.0048622182736621
Hydrogenophilaceae_1411,0.00243392916244747
Lautropia_1415,0.00734255110226248
Betaproteobacteria_1417,0.00853336733945707
Betaproteobacteria_1421,0.00364604742325005
Lautropia_1423,0.0444133534115631
Burkholderia_1434,0.0453681638902626
Betaproteobacteria_1441,0.00488621536435542
Haemophilus_1444,0.00242327679799494
Burkholderia_1449,0.0012077711217598
Acinetobacter_1466,0.0172419356280353
Acinetobacter_1467,0.00974668932095518
Acinetobacter_1469,0.0109369404813465
Acinetobacter_1470,0.0121995326266736
Enhydrobacter_1472,0.012191451600985
Proteobacteria_1479,0.0024231370068815
Neisseriaceae_1482,0.0122029047396255
Alysiella_1484,0.0565977149049504
Neisseriaceae_1485,0.0189070687959169
Neisseria_1489,0.0124171444184024
Neisseria_1494,0.00241928526894675
Neisseria_1497,0.0122528280307854
Neisseria_1498,0.0214397512529978
Neisseria_1499,0.0364171837704946
Neisseria_1501,0.0215694986198741
Neisseria_1505,0.00608938008627489
Neisseria_1508,0.00363351688809894
Neisseria_1511,0.0413800211207146
Neisseria_1513,0.0318718882248897
Neisseria_1515,0.0146966676794608
Neisseria_1521,0.0364392672832336
Neisseria_1522,0.026483615025976
Neisseria_1523,0.131964318342011
Neisseria_1524,0.0396423671928733
Neisseria_1525,0.10408941522294
Neisseriaceae_1527,0.00982501704110294
Neisseria_1533,0.00860644266029997
Neisseria_1534,0.00242520889654119
Neisseriaceae_1535,0.0416601781008709
Neisseria_1536,0.0111094370066764
Neisseria_1538,0.0354362090561585
Neisseria_1543,0.0048310634728084
Neisseria_1544,0.0110401247715965
Neisseria_1548,0.00365598428920815
Neisseria_1549,0.00487882604951981
Neisseria_mucosa_ATCC_25996_1557,0.00365028029609093
k__Bacteria_1559,0.0123265813314479
k__Bacteria_1560,0.0237049846783107
Neisseria_1572,0.0109900382881302
Neisseria_1578,0.0189364748319752
Pasteurellaceae_1583,0.00730346194685257
Neisseria_1584,0.0212848808967896
Neisseriaceae_1587,0.00733638025556584
Neisseria_1593,0.00607675322694002
Neisseria_1600,0.00486811458249284
Serratia_1608,0.00364317814698617
Proteus_1626,0.00121267653795267
Proteus_1627,0.00121286657168727
Proteus_1629,0.00121370512105568
Enterobacteriaceae_1632,0.00243094475555898
Proteus_1634,0.00121233578049171
Cosenzaea_myxofaciens_1636,0.00121340772743935
uncultured_bacterium_1649,0.00610023149414219
Desulfobulbus_1659,0.00484913584737312
Cardiobacterium_1664,0.00863693821427823
Cardiobacterium_1667,0.024060722115475
Enterobacter_1677,0.00242430368685376
Serratia_1680,0.00363424522054142
Serratia_1683,0.00364396153288618
Serratia_1684,0.00612973097821909
Serratia_1687,0.00486996304199016
Serratia_1688,0.00242707383591094
Serratia_1689,0.00610392790351113
Escherichia_Shigella_1692,0.00242449031230215
Escherichia_Shigella_1696,0.00242723745372182
uncultured_bacterium_1701,0.00363863710915227
Gammaproteobacteria_1707,0.00242576727085111
Escherichia_Shigella_1716,0.00241796980334667
Morganella_1721,0.00489518634668047
Providencia_1731,0.00242055710108087
Enterobacteriaceae_1754,0.00121342817681134
Morganella_1755,0.00242768007624034
Gammaproteobacteria_1758,0.00364518681168613
Serratia_1761,0.00242590047234022
Serratia_1764,0.002429320127485
Serratia_marcescens_1765,0.00487804734552133
Serratia_marcescens_1767,0.00365331459620541
Serratia_1772,0.00732085334110033
Serratia_1773,0.00365214437477469
Serratia_1774,0.00365490929068994
Serratia_1777,0.00242866194218271
Serratia_1779,0.00736206647395453
Serratia_1780,0.00243580181864963
Serratia_1781,0.0024296933967398
Serratia_marcescens_1783,0.00736602101520523
Serratia_1785,0.00121177180119619
Serratia_marcescens_1786,0.00242410443454829
Serratia_1787,0.0036447341970238
Serratia_1788,0.0252419824579714
Serratia_1789,0.0097860537889363
Serratia_1790,0.0392387246687005
Serratia_1792,0.00243087515623968
Proteus_1796,0.00242999336664654
Enterobacteriaceae_1797,0.00242864964868477
Proteus_1802,0.033423281244254
Proteus_1803,0.00121539699850609
Proteus_1804,0.00242327679799494
Proteus_1805,0.00121264234032606
Serratia_1806,0.00243206743580162
Enterobacteriaceae_1812,0.00121418887912235
Pantoea_1816,0.00971127695128741
Enterobacteriaceae_1818,0.00242696994044452
Enterobacteriaceae_1819,0.00121164123448822
Pantoea_1822,0.00363548188575198
Enterobacteriaceae_1825,0.00606805608869389
Enterobacter_1832,0.00608802253459983
Enterobacteriaceae_1833,0.07662624388375
Enterobacter_1834,0.00243028688237944
Enterobacter_1835,0.00121286657168727
Enterobacter_1839,0.00120898729947275
Enterobacter_1841,0.00120964521745687
Enterobacter_1842,0.00121044400370296
Enterobacter_1843,0.00120631592576464
Enterobacter_1844,0.00244418808287493
Citrobacter_1853,0.0110844465942986
Citrobacter_1855,0.00729613921098087
Enterobacteriaceae_1857,0.00364907791710278
Enterobacter_1858,0.0170420204990189
Serratia_1861,0.00242988085216762
Serratia_1862,0.00242898738407276
Serratia_marcescens_1863,0.00489615960908563
Serratia_marcescens_1870,0.00242788185465459
Enterobacteriaceae_1875,0.00730114158882073
Serratia_marcescens_1876,0.00243141550280913
Serratia_1879,0.00365855306674061
Pasteurellaceae_1893,0.00723789555458784
Pasteurellaceae_1902,0.00484912717371359
Gammaproteobacteria_1906,0.0224137425955256
Haemophilus_1909,0.0357921862897463
Haemophilus_1919,0.0211542690447031
Haemophilus_1920,0.0160278059493536
Haemophilus_1923,0.0159432219833872
Haemophilus_1937,0.0339217688114565
Haemophilus_1940,0.00611658034210417
Haemophilus_1944,0.0315304947534454
Haemophilus_1949,0.00489523442567905
Haemophilus_influenzae_3655_1957,0.00978054804015592
Haemophilus_1958,0.00488617419800728
Haemophilus_1961,0.003655948275242
Haemophilus_1962,0.0262890250199798
Haemophilus_1963,0.0361026172749521
Haemophilus_1964,0.00607739272014039
Haemophilus_1971,0.012217077056237
Haemophilus_influenzae_3655_1972,0.00737010533219422
Haemophilus_1976,0.0196450261292705
Neisseriaceae_1978,0.00731343280067981
Haemophilus_1992,0.0146914116114613
Haemophilus_1999,0.0791517923591632
Pasteurellaceae_2001,0.0060910007191919
Haemophilus_2025,0.00857550102591784
Aggregatibacter_2027,0.0656744558876609
Haemophilus_2029,0.0186940961540104
Haemophilus_2030,0.0123779422661659
Haemophilus_2031,0.0097417149558431
Pasteurellaceae_2035,0.0213297636395168
Haemophilus_2039,0.0291879701567043
Haemophilus_2047,0.0666320227425444
Haemophilus_2048,0.0184797333692818
Haemophilus_2051,0.00609177022324273
Haemophilus_2054,0.00607791065436456
Haemophilus_2057,0.0123678701301137
Haemophilus_2059,0.00486261174519167
Haemophilus_2064,0.0147392904322354
Haemophilus_2067,0.0048891147584
Pasteurellaceae_2073,0.0073105116126767
Haemophilus_2076,0.017557564639967
Haemophilus_2077,0.0187298879147312
Aggregatibacter_2082,0.0236800118711094
Haemophilus_2090,0.0184474748580738
Haemophilus_2095,0.01360450644642
Haemophilus_2102,0.239798448720788
Haemophilus_2104,0.0188654285519205
Haemophilus_2105,0.0162468760929984
Haemophilus_2106,0.00491414213086029
Haemophilus_2107,0.029342727502081
Haemophilus_2112,0.0149789942637473
Haemophilus_2116,0.00486813306750024
Haemophilus_2118,0.0110676925155886
Haemophilus_2120,0.00978470403308559
Haemophilus_2121,0.0098081888012632
Haemophilus_2122,0.00855444600218166
Haemophilus_2124,0.00489232536874271
Haemophilus_2126,0.0123522136385574
Haemophilus_2129,0.00860421184489423
Haemophilus_2132,0.00486799205893539
Haemophilus_2133,0.00850988715892598
Haemophilus_2134,0.0298966065345316
Haemophilus_2153,0.00486634318286596
Haemophilus_2156,0.012280188129457
Haemophilus_2159,0.00609902682976917
Haemophilus_2178,0.00733872662519436
Haemophilus_2179,0.00364847174818855
Haemophilus_2180,0.00365769848321807
Gallibacterium_2181,0.003644660429777
Haemophilus_2182,0.0109628986983685
Haemophilus_2190,0.0158106950900644
Haemophilus_2204,0.0582395615549166
Haemophilus_2206,0.0121782614730725
Haemophilus_2207,0.00975607234544133
Haemophilus_2215,0.0109787314894719
Haemophilus_2216,0.0211174434547446
Haemophilus_2217,0.0186261461181913
Haemophilus_2218,0.0185913565752992
Haemophilus_2219,0.0288367363037267
Haemophilus_2220,0.0188897104241333
Haemophilus_2221,0.229345233098002
Haemophilus_2234,0.0967538093892142
Haemophilus_2235,0.0133898038282186
Haemophilus_2236,0.0145676339765089
Haemophilus_2237,0.0385014220145927
Haemophilus_2238,0.0225175962915316
Haemophilus_2242,0.0196367243243714
Haemophilus_2245,0.0222007348377447
Haemophilus_2246,0.0183909020787595
Haemophilus_2248,0.0134073210148943
Haemophilus_2274,0.0186984807126703
Gammaproteobacteria_2287,0.00120631592576464
Vibrionaceae_2312,0.00364791089793353
Serratia_2322,0.00121157133440917
Enterobacteriaceae_2323,0.00852470467655534
Enterobacteriaceae_2324,0.00732031488922067
Enterobacteriaceae_2326,0.00485581270289509
Serratia_2329,0.00730752900618872
Serratia_marcescens_2331,0.00363548188575198
Pseudomonas_2335,0.00365104131067146
Neisseria_2342,0.00120988909051751
Neisseria_2344,0.0348202354599823
Pseudomonas_2347,0.067334474208718
